Ex. 1 Part (A) (B),,,,,,,,,,,,,,,,,,,,,
Value-weighted,,,,,,,,,,,,,,,,,,,,,
Date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10,Mkt-RF,RF
193406,-99.99,-1.8,0.89,2.87,-1.19,-2.4,1.62,3.3,2.72,-3.92,-0.05,-2.33,-2.45,2.12,1.31,1.04,4.55,3.09,2.64,2.64,0.01
193407,-99.99,-23.98,-17.8,-10.09,-23.79,-23.23,-18.89,-15.38,-9.65,-20.26,-25.09,-24.14,-22.67,-20.21,-18.07,-15.71,-15.19,-14.27,-8.66,-10.96,0.01
193408,-99.99,12.68,8.43,5.19,11.16,10.75,9.5,6.91,5.07,4.75,13.67,13.87,8.83,10.81,8.7,7.41,6.63,5.87,4.91,5.58,0.01
193409,-99.99,-2.76,-0.12,-0.09,-2.36,-2.22,-1.01,-0.2,-0.03,-3.8,-1.83,-3.08,-1.66,-1.48,-0.71,1,-0.87,-0.91,0.15,-0.23,0.01
193410,-99.99,-1.64,-1.63,-1.63,-2.01,-1.8,-2.15,-1.34,-1.65,-3.32,-1.56,-1.34,-2.09,-2.76,-1.77,-1.08,-1.49,-0.77,-1.82,-1.66,0.01
193411,-99.99,15.2,12.69,7.98,15.18,14.37,12.61,12.24,7.65,15.73,14.99,15.21,13.85,14.1,11.72,12.51,12.07,8.72,7.43,8.33,0.01
193412,-99.99,3.04,2.31,0.14,2.01,2.66,2.26,2.32,-0.04,1.32,2.25,3.84,1.91,2.7,1.99,2.44,2.25,0.46,-0.15,0.36,0.01
193501,-99.99,-4.07,-3.73,-3.39,-3.23,-3.73,-3.55,-4.52,-3.27,-3.5,-3.14,-4.71,-3.1,-4.62,-2.9,-4.01,-4.81,-4.85,-2.94,-3.45,0.01
193502,-99.99,-7.29,-3.53,-1.75,-9.79,-5.85,-3.87,-1.97,-1.77,-13.73,-8.49,-5.35,-6.17,-2.92,-4.46,-2.69,-1.55,-1.97,-1.73,-1.94,0.02
193503,-99.99,-11.68,-6.59,-3.23,-12.07,-9.12,-7.5,-5.09,-3.09,-11.79,-12.16,-11.39,-7.68,-7.11,-7.74,-5.58,-4.81,-4.99,-2.71,-3.68,0.01
193504,-99.99,11.01,7.47,9.11,11.03,10.6,8.75,6.25,9.33,10.3,11.26,10.99,10.36,7.51,9.52,5.81,6.51,10.14,9.16,9.06,0.01
193505,-99.99,1.19,1.13,3.74,0.51,3.17,0.96,1.43,3.89,-0.34,0.77,1.69,4.08,0.1,1.47,0.68,1.87,4.76,3.71,3.47,0.01
193506,-99.99,2.25,6.4,6.03,0.79,4.51,6.09,6.32,6.04,-4.8,2.51,3.32,5.23,4.55,6.99,6.93,5.97,7.47,5.75,5.93,0.01
193507,-99.99,14.44,10.11,7.21,15.81,14.53,11.4,7.55,7.19,18.24,15,13.52,15.12,11.42,11.38,7.87,7.37,7.31,7.17,7.51,0.01
193508,-99.99,13.72,5.3,2.32,16.24,9.35,7.05,2.66,2.31,16.05,16.3,12.02,7.82,8.54,6.13,3.07,2.42,3.6,2.05,2.65,0.01
193509,-99.99,1.98,2.71,2.6,1.62,3.09,3.25,2.39,2.6,0.41,2.04,2.24,3.61,5.53,1.81,1.97,2.63,2.45,2.63,2.63,0.01
193510,-99.99,10.22,7.93,6.88,8.17,10.01,9.77,7.17,6.8,5.99,8.91,11.64,9.04,9.13,10.18,5.82,7.94,9.31,6.29,7.03,0.01
193511,-99.99,21.5,8.24,4.43,30.29,11.88,9.1,5.48,4.41,34.75,28.8,15.58,9.62,9.7,8.71,7,4.63,5.28,4.23,4.88,0.02
193512,-99.99,5.17,8.02,4.11,2.78,7.56,8.59,6.84,3.91,3.79,2.43,6.97,7.94,5.73,10.46,7.42,6.5,4.57,3.78,4.56,0.01
193601,-99.99,21.12,10.62,6.35,26.21,15.85,10.18,6.75,6.48,39.65,21.52,17.41,14.86,8.8,11.04,10.03,4.85,9.54,5.83,6.89,0.01
193602,-99.99,6.87,3.57,2.38,8.63,5.05,3.97,4,2.19,5.29,9.96,5.5,4.76,5.9,2.79,2.84,4.7,4.07,1.78,2.49,0.01
193603,-99.99,1.52,2.45,0.87,1.38,0.8,4.35,-0.32,1.03,1.01,1.53,1.63,0.25,1.81,5.96,0.97,-1.09,0.41,1.17,0.99,0.02
193604,-99.99,-17.06,-11.21,-7.57,-18.19,-15.77,-11.29,-9.95,-7.38,-24.92,-15.64,-16.16,-15.51,-11.88,-10.94,-9.98,-9.93,-10.2,-6.75,-8.14,0.02
